Customer ID	Loan ID	Loan Amount	Tenure	Interest Rate	Monthly payment	EMIs paid on Time	Date of Approval	End Date
14	5930	900000	129	8.2	15344	114	09-03-2017	09-12-2027
270	2941	300000	3	13.46	100000	3	06-09-2011	06-12-2011
28	5152	200000	147	12.39	5526	126	13-07-2015	13-10-2027
68	6701	500000	171	12.72	15631	160	04-01-2021	04-04-2035
244	7997	400000	135	12.1	10408	81	02-05-2019	02-08-2030
229	4648	700000	18	12.57	43777	13	10-09-2020	10-03-2022
29	8977	200000	21	17.07	11150	19	08-07-2011	08-04-2013
93	8532	200000	144	13.03	6039	99	11-11-2011	11-11-2023
138	8579	200000	159	10.65	4688	141	25-11-2011	25-02-2025
53	8321	100000	177	9.59	2036	123	07-08-2011	07-05-2026
